fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.07291	0.46491	0.49519	1.02541	1.71208	2.78186	7.32396
0.08835	0.49553	0.52445	1.05531	1.69066	2.37257	6.6225
0.07401	0.45205	0.4733	0.89298	1.35202	1.80012	5.22144
0.12619	0.69873	0.64172	1.29987	1.93166	2.68472	6.06831
0.18843	1.08967	1.09199	2.09735	2.88847	3.48134	6.5526
0.20064	1.32057	1.32294	2.32892	3.21798	3.88166	6.76943
0.24314	1.43482	1.49448	2.89172	4.22574	4.75312	6.77177
0.13466	0.77886	0.76897	1.43911	2.27616	3.28654	5.97677
0.24846	1.31364	1.24299	2.09106	2.94589	3.75391	6.27712
0.14549	0.87645	0.90862	1.68266	2.90811	4.34486	6.63249
0.31472	1.75491	1.82324	3.33577	4.74117	5.98529	7.14372
0.33078	1.89219	1.74742	2.99031	3.95321	5.00414	6.86728
0.20706	1.12303	1.14786	2.25483	3.47668	4.82061	6.76993
0.19296	1.22884	1.21654	2.19626	3.30023	4.59053	6.81038
0.24813	1.48886	1.46284	2.6114	3.84956	5.17703	7.11903
0.27055	1.76831	1.66949	2.81434	3.91897	5.36476	6.88838
0.31952	1.92516	1.79939	3.0873	4.41662	6.14323	7.48192
0.50474	2.92544	2.66761	4.38225	5.97395	7.50241	7.48878
0.35113	1.89683	1.81809	3.17515	4.78392	6.60541	7.60495
0.24813	1.58129	1.5491	2.74607	4.02687	6.2704	7.44937
0.45068	2.82115	2.75553	4.68526	6.47	8.43469	7.70075
0.35944	2.5224	2.33409	4.06483	5.63904	7.64211	7.80036
0.37319	1.94875	1.87705	3.37238	4.77092	6.48396	7.35069
0.51369	3.03499	2.76584	4.66069	6.29221	8.02297	7.60635
0.24845	1.42637	1.49803	2.97403	4.86575	7.14204	7.54504
0.47386	2.72761	2.56253	4.37764	6.14472	8.19507	7.9754
0.53101	3.49466	3.28629	5.30132	6.45177	7.63064	8.15698
0.29613	1.86731	1.8899	3.13569	4.32115	6.2476	7.38242
0.31434	1.87777	1.75561	2.96893	4.25979	6.5873	7.53592
0.54382	3.73973	3.42936	5.37342	6.38014	7.42276	7.60842
0.34539	1.94048	1.76562	2.98745	4.16127	6.10932	7.54831
0.2881	1.67918	1.51463	2.70389	4.25727	6.83561	7.70129
0.32068	1.84495	1.8075	3.23415	4.72411	7.05576	7.54311
0.50898	3.13344	2.91072	4.60514	5.78997	7.43376	7.5395
0.59659	3.16835	2.89453	4.73913	6.02742	7.87227	7.51706
0.46514	2.73222	2.43594	3.91857	5.43059	7.46351	7.47043
0.41924	2.37622	2.21535	3.85852	5.65552	7.72957	7.71972
0.48437	2.54894	2.3494	4.11736	6.16266	8.35644	7.96837
0.46788	2.82795	2.74937	4.49775	5.61879	7.56706	7.34376
0.3824	2.20959	2.12561	3.68113	5.29332	7.87425	7.91929
0.45129	2.44933	2.20607	3.71196	5.24967	7.38099	7.47328
0.45794	2.69063	2.45157	4.00968	4.92789	6.76822	7.56017
0.46216	2.82377	2.57091	4.00635	4.9902	6.7922	7.50066
0.37476	2.43696	2.17831	3.63775	5.23369	7.6074	7.49676
0.53027	3.01368	2.64284	4.19997	5.39295	7.27732	7.34433
0.37443	2.14736	2.01409	3.47829	5.19676	7.63562	7.48216
0.42959	2.6758	2.35428	3.81695	5.70715	8.27592	7.83121
0.75646	4.00901	3.47701	5.70703	7.46608	9.09388	7.9132
0.65197	3.34451	2.98447	4.94051	6.90603	9.36535	8.09265
0.50097	2.77262	2.47577	4.00531	5.54065	7.48635	7.60139
0.42638	2.46169	2.24169	3.59408	5.22142	7.59354	7.53221
0.48248	2.43693	2.17227	3.57877	5.25754	7.5698	7.76688
0.52788	3.31605	3.012	4.45558	5.37295	7.26019	7.38739
0.47515	2.57121	2.43591	4.082	5.71796	8.33902	7.62786
0.3547	2.04651	1.87754	3.08611	4.32871	6.60359	7.37651
0.3033	1.8214	1.78329	3.13398	4.80548	7.30813	7.48887
0.49463	2.93421	2.69736	4.13831	5.2276	7.31704	7.5845
0.67544	3.668	3.29836	5.09899	5.86822	7.58632	7.43084
0.41298	2.51814	2.33242	3.69077	5.27913	7.77704	7.75391
