fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
6.44394	0.00627	3.59712	2.11026	1.26234	0.68197	0.58406	0.13046
8.16846	0.00564	3.12408	1.832	1.12966	0.62646	0.57122	0.08698
4.99952	0.00471	2.61368	1.6087	1.08923	0.58514	0.61919	0.09301
7.24185	0.00619	3.52995	2.29637	1.60004	0.87827	0.90046	0.17083
7.90495	0.00774	4.31541	3.11182	2.15878	1.27638	1.42306	0.24806
9.44327	0.00883	4.97205	3.62474	2.751	1.69059	1.68343	0.28721
9.46708	0.01024	5.24792	3.8613	2.77667	1.75342	1.69966	0.29507
7.18471	0.00769	3.60281	2.32164	1.61213	0.88297	0.74035	0.1253
8.27872	0.00829	4.19954	2.96802	2.36738	1.5544	1.45132	0.27127
12.72254	0.00817	4.35898	2.59031	1.69399	1.01646	0.89905	0.16371
8.441	0.01296	5.74146	4.37542	3.45255	2.1691	2.12292	0.35494
10.12992	0.01033	5.17476	3.94116	3.25567	2.24691	2.31051	0.42228
6.62357	0.00888	3.83651	2.72107	1.99742	1.20816	1.16216	0.17256
10.65066	0.01015	4.41932	2.81682	1.92808	1.20202	1.21852	0.22925
6.07985	0.00812	3.8405	3.06091	2.39008	1.46307	1.34109	0.25889
8.38227	0.00824	4.47865	3.42217	2.74031	1.95545	1.8868	0.37852
11.99999	0.01409	5.71553	4.16917	3.36874	2.16332	2.26456	0.48291
15.64219	0.02063	8.15313	5.72257	4.51126	3.16742	2.98342	0.60146
7.95022	0.01035	5.02072	4.02928	3.27714	2.24889	2.32692	0.39647
7.42481	0.00829	4.33327	3.47828	2.75738	1.75845	1.68372	0.33695
8.89602	0.01569	6.30039	5.00739	4.07507	2.83054	2.93817	0.7058
13.22883	0.01963	7.24802	5.19672	4.31343	2.93973	3.08064	0.60053
9.67309	0.01226	5.15428	3.89119	3.08038	2.01885	1.83566	0.30097
8.50084	0.01607	6.55731	5.53675	4.85266	3.1708	3.00544	0.54098
14.49168	0.01542	6.03486	3.62889	2.53343	1.53882	1.41931	0.28128
11.54822	0.01794	7.01055	5.33381	4.42439	2.79387	3.10813	0.62107
12.12623	0.01746	7.38571	5.88971	5.38819	3.75897	4.43689	0.82793
9.64204	0.0123	5.03936	3.59285	3.01773	2.18031	2.21072	0.40233
11.62034	0.01143	5.3708	3.9857	3.14149	1.95511	1.97193	0.3587
14.56004	0.02939	9.19616	6.75343	5.97608	3.97093	4.24106	0.98785
16.91857	0.01525	5.81659	3.67999	2.84728	1.97442	2.17089	0.37675
13.17546	0.01437	5.40801	3.55681	2.78235	1.75827	1.748	0.32661
8.20354	0.01149	4.67456	3.4672	2.78163	1.68937	1.50236	0.26451
13.05484	0.01587	6.70911	5.14595	4.48468	2.93895	3.11638	0.65623
10.4682	0.01421	6.14429	4.98018	4.44748	3.48314	3.73245	0.75498
14.25603	0.01727	6.33874	4.71743	4.13984	2.75857	2.56288	0.51553
14.52678	0.02072	7.20337	4.84649	3.65464	2.20829	2.05233	0.3385
11.2558	0.01934	6.49491	4.66479	3.87695	2.51194	2.67246	0.50854
8.02792	0.01233	5.08311	4.39256	3.89788	2.82502	3.20117	0.56586
11.61073	0.01639	5.77672	4.2172	3.55155	2.45055	2.29657	0.45691
6.46739	0.01077	4.30284	3.59937	3.33252	2.41317	2.54228	0.52966
10.7525	0.0151	5.93553	4.58728	4.11118	3.17286	3.37549	0.59288
9.03218	0.0157	5.83324	4.54134	3.94184	2.87227	2.81211	0.57899
7.61394	0.01328	5.0695	4.08967	3.51933	2.40029	2.61948	0.50589
10.25708	0.0153	6.00129	4.8526	4.32577	2.99667	3.21296	0.63814
11.94743	0.01718	5.64592	3.96035	3.15802	2.11595	2.035	0.36616
10.99775	0.0152	5.96621	4.58194	3.87007	2.53391	2.57146	0.49721
9.53341	0.01914	6.94896	6.13444	5.41397	3.8571	3.87309	0.76249
11.60677	0.01718	6.74032	5.33978	4.67757	3.1178	3.42428	0.66813
11.98078	0.01847	6.47082	4.65256	3.85184	2.48433	2.54926	0.47746
13.8012	0.01603	6.28907	4.53897	3.56262	2.22846	2.1994	0.36505
8.85229	0.01459	5.28414	3.93698	3.50422	2.24073	2.40249	0.5101
12.64459	0.02182	7.43961	5.49147	4.94177	3.3825	3.79189	0.76743
13.26222	0.0193	6.82274	4.74574	3.77976	2.70732	2.95617	0.54432
6.4683	0.01118	4.24527	3.48892	3.06409	2.08837	2.31434	0.48166
11.76023	0.01717	5.49094	3.59116	2.684	1.71156	1.42515	0.20018
7.97494	0.01358	5.13067	4.14077	3.85003	2.80545	2.65111	0.58602
12.73636	0.02519	7.70626	5.76349	5.24889	4.08249	4.15575	0.85236
9.95045	0.01549	5.39909	4.04863	3.39387	2.33272	2.33887	0.45124
7.99872	0.01552	5.08018	3.7739	3.0962	2.23443	2.23351	0.43229
17.54537	0.02293	6.85695	4.6553	3.81015	2.53336	2.522	0.57894
8.82382	0.01999	6.89236	5.45288	4.82518	3.40642	3.83395	0.7265
7.29788	0.01527	5.405	4.48299	4.04929	2.93046	3.27124	0.6972
6.2211	0.01306	4.52892	3.61241	3.32214	2.39378	2.49878	0.61238
14.14462	0.01984	6.91157	4.75095	3.85261	2.74616	3.08969	0.57112
11.3693	0.01696	6.45368	5.14438	5.01452	3.64665	3.59349	0.77831
13.45924	0.02014	6.18243	4.25123	3.58702	2.35772	2.2519	0.39987
10.08782	0.01566	5.4565	4.2783	4.10273	3.08939	3.44906	0.73231
7.07508	0.01589	5.06076	3.87101	3.60786	2.51546	2.54425	0.58151
7.58184	0.01513	5.11132	4.06575	3.61073	2.5945	2.51735	0.51587
14.1302	0.01959	6.94577	5.06964	4.47124	3.0869	3.32806	0.67892
12.07632	0.02026	6.92979	5.49562	5.05233	3.92105	4.74836	1.04534
16.37551	0.02177	7.25056	5.4958	5.16599	4.05058	4.65339	0.97581
7.88255	0.02015	6.86552	6.27012	6.41298	4.66237	5.16321	1.2912
9.21383	0.02162	7.44466	6.27856	6.25191	4.52719	4.90761	1.12225
10.61598	0.01798	6.05147	4.60253	3.9714	2.77807	2.71932	0.50128
8.28344	0.01493	5.03653	4.0591	3.70604	2.75332	3.12204	0.66984
7.63652	0.01668	5.69274	4.72996	4.51789	3.21152	3.25467	0.6917
6.88871	0.01613	5.61467	4.8362	4.59848	3.34901	4.07548	0.8876
14.30045	0.02229	6.76106	4.82298	4.22086	3.12405	3.39556	0.69427
8.79511	0.01493	4.56876	3.39427	2.91093	2.07425	2.23315	0.42312
26.37883	0.02895	7.31467	4.03673	3.13628	2.09692	2.23991	0.43088
13.19512	0.0195	6.65862	5.03645	4.66281	3.2916	3.67851	0.7538
16.06612	0.02205	6.25137	4.45725	3.68409	2.49476	2.54575	0.46827
8.59362	0.01635	5.56143	4.53596	4.07348	2.89591	3.0251	0.64535
10.71247	0.01794	6.00506	4.52729	4.04985	2.92064	3.07974	0.73898
9.22757	0.0177	6.07862	5.10809	4.89115	3.64953	3.7572	0.73385
8.57319	0.02103	6.82937	5.94833	5.55074	4.24496	4.67393	0.94486
6.83892	0.01439	4.81739	3.90339	3.41479	2.41786	2.29099	0.44466
13.55795	0.02471	6.75685	4.96116	4.47615	3.38123	3.34276	0.70713
6.51271	0.0132	4.39697	3.54428	3.2051	2.36109	2.22974	0.43163
8.35409	0.01577	5.48771	4.28788	4.10481	3.16976	2.92007	0.64636
5.9831	0.01371	4.63305	4.09706	3.67329	2.53613	2.67163	0.49461
25.30796	0.03005	8.08948	4.17167	2.99003	1.93095	1.67159	0.30106
7.7675	0.0158	5.31291	4.53585	4.49586	3.07399	2.92509	0.61189
7.46531	0.01592	5.11945	4.26483	3.86119	2.90105	3.00338	0.66093
9.32927	0.01701	5.28111	4.33438	3.81277	2.66493	2.72246	0.54281
7.79532	0.01357	4.35857	3.16141	2.7013	1.96785	2.14992	0.44867
7.63464	0.01194	4.7342	3.87848	3.6501	2.94048	3.24184	0.74421
16.03481	0.02215	6.7115	4.47788	3.81526	3.02968	3.54434	0.78996
8.42527	0.01492	5.15246	3.8714	3.32925	2.26782	2.31082	0.43475
9.02486	0.01937	6.74949	5.74809	5.39715	3.89041	4.00151	0.77781
12.49264	0.02258	6.54785	4.8654	4.3963	2.99862	3.482	0.76514
