fc.0.weight	fc.2.weight	fc.4.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight
0.01046	0.03301	0.04655	0.08502	0.15712	0.32067	1.60652
0.06621	0.21381	0.27895	0.48444	0.75226	0.9843	2.33744
0.02896	0.0973	0.1157	0.17788	0.33534	0.56826	1.92245
0.05891	0.19204	0.23245	0.35967	0.5776	0.77398	1.84715
0.06777	0.22455	0.30081	0.45265	0.71523	0.90663	1.87818
0.04425	0.14364	0.1629	0.2525	0.46013	0.77242	1.71316
0.0593	0.23382	0.24352	0.36927	0.5669	0.85481	2.01711
0.06819	0.24627	0.2479	0.43807	0.72437	1.06714	2.04402
0.08327	0.28305	0.33688	0.5631	0.87337	1.19688	1.98867
0.07917	0.25375	0.24451	0.41649	0.73601	1.14345	2.00774
0.10273	0.35016	0.38442	0.57057	0.91739	1.30195	2.16396
0.09559	0.43015	0.43321	0.64518	0.90485	1.14799	1.84827
0.08896	0.31551	0.33097	0.5466	0.94022	1.41918	1.98551
0.0569	0.1692	0.20341	0.33831	0.60388	1.08421	1.82853
0.06499	0.19506	0.20323	0.32978	0.60788	1.00914	1.95122
0.09225	0.26519	0.29731	0.49488	0.7762	1.15252	1.96141
0.0807	0.30141	0.36194	0.54128	0.81582	1.16071	1.88329
0.08058	0.26734	0.29697	0.50604	0.79724	1.19976	2.00539
0.05906	0.1893	0.22204	0.38016	0.66582	1.11934	1.88133
0.08133	0.26674	0.26776	0.44651	0.74686	1.1422	1.90827
0.08604	0.26966	0.29709	0.48621	0.81471	1.3987	2.01775
0.11309	0.35505	0.39578	0.56835	0.90779	1.36578	1.98
0.14498	0.45901	0.49884	0.77326	1.1065	1.64055	2.11059
0.1023	0.40815	0.40067	0.68422	1.0967	1.60316	2.07505
0.08893	0.3126	0.36344	0.56421	0.89843	1.46436	1.99898
0.11697	0.3514	0.47315	0.66973	1.00685	1.58222	2.08175
0.12575	0.44043	0.47055	0.77987	1.20381	1.76401	2.04447
0.10728	0.36355	0.41987	0.69773	1.24062	1.95628	2.25415
0.10681	0.30759	0.35211	0.54563	0.94008	1.58762	2.14715
0.05387	0.19886	0.25337	0.39214	0.77553	1.47261	1.93859
0.07465	0.24905	0.30685	0.50754	0.85487	1.40927	2.01168
0.11477	0.37577	0.42301	0.65888	1.05764	1.63076	2.10451
0.13864	0.52048	0.55365	0.77139	1.04601	1.58775	2.06821
0.21203	0.68551	0.73746	1.0506	1.47906	2.12203	2.26588
0.12544	0.37334	0.42569	0.68505	1.11497	1.76739	2.1405
0.13897	0.49418	0.53257	0.81689	1.23657	1.857	2.11629
0.12983	0.55226	0.55474	0.82714	1.23603	1.93583	2.10802
0.17106	0.6614	0.66901	1.00871	1.63105	2.47782	2.28664
0.09794	0.33439	0.36841	0.60167	1.07475	1.90675	2.19192
0.10559	0.34507	0.38618	0.67314	1.18189	2.00543	2.27819
0.17032	0.56726	0.60313	0.988	1.51721	2.3564	2.28307
0.08937	0.29265	0.38974	0.56893	0.98133	1.86654	2.13549
0.13928	0.44458	0.51514	0.73622	1.14293	1.81429	2.15225
0.10368	0.37857	0.39115	0.66625	1.17782	1.92666	2.14373
0.10891	0.36958	0.39659	0.65231	1.16356	2.04428	2.20225
0.12317	0.35544	0.37553	0.63649	1.19314	2.16091	2.23204
