fc.0.weight	fc.1.weight	fc.3.weight	fc.6.weight	fc.8.weight	fc.10.weight	fc.12.weight	fc.14.weight
1.36724	0.00176	0.41388	0.2134	0.11282	0.05046	0.03505	0.01161
2.53939	0.00756	1.36216	0.96498	0.66865	0.36563	0.31889	0.12296
1.73946	0.00316	0.74352	0.48803	0.3201	0.17088	0.1384	0.04806
1.78377	0.00469	0.84375	0.4996	0.32621	0.2003	0.1806	0.08079
1.84248	0.00599	1.0082	0.64968	0.4387	0.29434	0.26207	0.1118
2.98719	0.00518	0.8982	0.48356	0.27204	0.16463	0.15188	0.04856
2.35782	0.00432	0.9305	0.58355	0.39958	0.24065	0.24918	0.09882
2.61203	0.0065	1.10946	0.6726	0.42793	0.2537	0.24175	0.09107
3.12498	0.00665	1.24304	0.77468	0.49032	0.27806	0.28658	0.12817
3.57824	0.00855	1.34175	0.70553	0.41903	0.26755	0.24604	0.09793
2.82891	0.00816	1.32079	0.79726	0.55213	0.37812	0.33505	0.14329
4.07957	0.01072	1.59477	0.96976	0.62999	0.3964	0.35045	0.14675
2.44436	0.00873	1.28761	0.7905	0.5031	0.31388	0.25685	0.09549
4.2663	0.00977	1.41873	0.68643	0.40851	0.23304	0.18359	0.07239
3.61783	0.00862	1.29626	0.61359	0.35222	0.21182	0.20456	0.09016
3.6867	0.00871	1.44721	0.78404	0.55326	0.34672	0.31663	0.09706
3.34518	0.00792	1.34252	0.76671	0.53602	0.34989	0.37952	0.16259
3.03693	0.00905	1.36561	0.71555	0.48153	0.31767	0.24676	0.11683
2.3818	0.00631	1.0338	0.59241	0.4042	0.23336	0.20729	0.06744
3.6972	0.00887	1.31592	0.73431	0.52717	0.3448	0.32347	0.12266
2.4909	0.00769	1.20219	0.73131	0.52166	0.33324	0.32721	0.119
4.65421	0.01302	1.74952	0.92237	0.6991	0.52194	0.47285	0.15359
4.02178	0.01041	1.64055	1.02204	0.84412	0.57488	0.53401	0.1895
3.76939	0.01319	1.67916	0.906	0.66456	0.42944	0.42682	0.17908
2.34465	0.00712	1.15584	0.70417	0.4913	0.30805	0.28273	0.11704
3.44961	0.00948	1.43408	0.89085	0.73108	0.52477	0.483	0.16966
